Código,Descrição
1010200,PELOTAS
1010400,PASSO FUNDO
1010300,SANTA MARIA
1017700,PORTO DE RIO GRANDE
1010600,CAXIAS DO SUL
1010700,NOVO HAMBURGO
1015600,SANTANA DO LIVRAMENTO
1010955,QUARAI
1010851,PORTO MAUA
1011100,SANTA CRUZ DO SUL
1010900,URUGUAIANA
1010954,BARRA DO QUARAI
1010951,ITAQUI
1015500,CHUI
1017600,AEROPORTO SALGADO FILHO - PORTO ALEGRE
1015400,PORTO ALEGRE
1010253,BAGE
1010852,PORTO XAVIER
1010953,SAO BORJA
1010252,JAGUARAO
0120100,GOIANIA
0120200,ANAPOLIS
0130100,CUIABA
0140100,CAMPO GRANDE
0145352,PORTO MURTINHO
0150100,PALMAS
0117600,AEROPORTO INTERNACIONAL DE BRASILIA
0145100,MUNDO NOVO
0145200,CORUMBA
0145300,PONTA PORA
0130151,CACERES
0145351,BELA VISTA
0210200,SANTAREM
0210251,OBIDOS
0210300,MARABA
0227603,TABATINGA
0817900,SAO PAULO
0230100,RIO BRANCO
0230151,BRASILEIA
0240100,MACAPA
0250100,PORTO VELHO
0260100,BOA VISTA
0260151,PACARAIMA
0260152,BONFIM
0217602,BARCARENA
0217600,PORTO DE BELEM
0227600,PORTO DE MANAUS
0227700,AEROPORTO EDUARDO GOMES
0250151,GUAJARA-MIRIM
0217700,AEROPORTO INTERNACIONAL DE BELEM
0230154,ASSIS BRASIL
0317800,PORTO DE PECEM
0330100,TERESINA
0317600,PORTO DE FORTALEZA
0317700,AEROPORTO INTERNACIONAL PINTO MARTINS
0327600,PORTO DE SAO LUIS
0420152,PARNAMIRIM
0410251,PETROLINA
0420252,AREIA BRANCA
0430151,CABEDELO
0440151,MACEIO
0415100,IRF/RECIFE
0417700,AEROPORTO GUARARAPES
0417800,PORTO DE SUAPE
0520100,ARACAJU
0510552,ILHEUS
0517602,PORTO DE ARATU
0510551,PORTO SEGURO
0517600,PORTO DE SALVADOR
0517700,AEROPORTO INTERNACIONAL DE SALVADOR DEP. LUIS EDUARDO
0610300,GOVERNADOR VALADARES
0610400,JUIZ DE FORA
0610800,MONTES CLAROS
0610500,UBERABA
0610900,UBERLANDIA
0610600,VARGINHA
0615100,IRF/BELO HORIZONTE - MG
0710200,NITEROI
0710300,NOVA IGUACU
0710400,CAMPOS DOS GOITACAZES
0710500,VOLTA REDONDA
0717700,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO
0717600,PORTO DO RIO DE JANEIRO
0711000,MACAE
0727600,PORTO DE VITORIA
0717800,PORTO DE ITAGUAI
0812200,ARARAQUARA
0810200,ARACATUBA
0810300,BAURU
0812051,SAO SEBASTIAO
0811200,LIMEIRA
0811800,MARILIA
0810900,RIBEIRAO PRETO
0810700,SAO JOSE DO RIO PRETO
0812000,SAO JOSE DOS CAMPOS
0811000,SOROCABA
0812400,JUNDIAI
0810800,TAUBATE
0812500,PIRACICABA
0812300,FRANCA
0817600,AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
0817700,AEROPORTO INTERNACIONAL DE VIRACOPOS
0817800,PORTO DE SANTOS
0927800,ITAJAI
0917800,PORTO DE PARANAGUA
0920400,BLUMENAU
0910200,LONDRINA
0920500,LAGES
0910300,CASCAVEL
0910351,SANTO ANTONIO DO SUDOESTE
0910352,CAPANEMA
0910400,PONTA GROSSA
0910500,MARINGA
0910600,FOZ DO IGUACU
0910652,SANTA HELENA
0920200,JOINVILLE
0920300,JOACABA
0910651,GUAIRA
0925200,FLORIANOPOLIS
0920351,DIONISIO CERQUEIRA
0925251,IMBITUBA
0927700,PORTO DE SAO FRANCISCO DO SUL
0915200,CURITIBA
0617700,ALF - BELO HORIZONTE
0217800,ALF - BELÉM
0147600,ALF - CORUMBÁ
0917900,ALF - CURITIBA
0927900,ALF - DIONÍSIO CERQUEIRA
0317900,ALF - FORTALEZA
0917500,ALF - FOZ DO IGUAÇU
0147700,ALF - MUNDO NOVO
0147800,ALF - PONTA PORÃ
1017800,ALF - PORTO ALEGRE
0417900,ALF - RECIFE
0517800,ALF - SALVADOR
1017900,ALF - SANTANA DO LIVRAMENTO
1017500,ALF - URUGUAIANA
0147851,ARF - BELA VISTA
0147852,ARF - PORTO MURTINHO
0217801,IRF - AEROPORTO INTERNACIONAL DE BELÉM
0927501,IRF - AEROPORTO INTERNACIONAL DE FLORIANÓPOLIS
0517801,IRF - AEROPORTO INTERNACIONAL DE SALVADOR
0417901,IRF - AEROPORTO INTERNACIONAL DOS GUARARAPES
0317901,IRF - AEROPORTO INTERNACIONAL PINTO MARTINS
1017801,IRF - AEROPORTO INTERNACIONAL SALGADO FILHO
1017701,IRF - CHUÍ
0230155,IRF - EPITACIOLÂNDIA
0917501,IRF - GUAÍRA
0927502,IRF - IMBITUBA
1017501,IRF - ITAQUI
0417902,IRF - PORTO DE SUAPE
0320151,IRF - PORTO DE SÃO LUÍS
1017502,IRF - QUARAÍ
0917502,IRF - SANTA HELENA
1017503,IRF - SÃO BORJA
0420154,IRF NATAL
0611200,POCOS DE CALDAS
0240152,SANTANA
0811203,PIRACICABA
0240151,OIAPOQUE
0317903,IRF SAO LUIS
0510352,IRF PORTO SEGURO
0510353,IRF ILHEUS
0610613,DRF POCOS DE CALDAS
0710251,IRF CAMPOS DOS GOYTACAZES
0710252,IRF MACAE
0812003,DRF TAUBATE
1010351,IRF SANTANA DO LIVRAMENTO
1017504,IRF PORTO MAUA
1017505,IRF PORTO XAVIER
